month,court,JID,JYEAR,JCASE,JNO,JDATE,JTITLE,JFULL_len,工程次數,命中依據,JPDF,src_path
202305,臺灣高等法院臺南分院民事,"TNHV,110,建上,6,20230502,2",110,建上,6,20230502,損害賠償等,9949,50,建類碼,https://data.judicial.gov.tw/opendl/JDocFile/TNHV/110%2c%e5%bb%ba%e4%b8%8a%2c6%2c20230502%2c2.pdf,"202305/臺灣高等法院臺南分院民事/TNHV,110,建上,6,20230502,2.json"
202305,臺灣高等法院臺南分院民事,"TNHV,111,上更一,30,20230509,1",111,上更一,30,20230509,履行契約,23826,24,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNHV/111%2c%e4%b8%8a%e6%9b%b4%e4%b8%80%2c30%2c20230509%2c1.pdf,"202305/臺灣高等法院臺南分院民事/TNHV,111,上更一,30,20230509,1.json"
202305,臺灣高等法院臺南分院民事,"TNHV,111,建上,12,20230523,1",111,建上,12,20230523,給付工程款,14657,89,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNHV/111%2c%e5%bb%ba%e4%b8%8a%2c12%2c20230523%2c1.pdf,"202305/臺灣高等法院臺南分院民事/TNHV,111,建上,12,20230523,1.json"
202305,臺灣高等法院臺南分院民事,"TNHV,111,重上,41,20230503,1",111,重上,41,20230503,履行契約,11390,2,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNHV/111%2c%e9%87%8d%e4%b8%8a%2c41%2c20230503%2c1.pdf,"202305/臺灣高等法院臺南分院民事/TNHV,111,重上,41,20230503,1.json"
202305,臺灣高等法院花蓮分院民事,"HLHV,112,上易,5,20230512,1",112,上易,5,20230512,履行契約,5471,32,標題,https://data.judicial.gov.tw/opendl/JDocFile/HLHV/112%2c%e4%b8%8a%e6%98%93%2c5%2c20230512%2c1.pdf,"202305/臺灣高等法院花蓮分院民事/HLHV,112,上易,5,20230512,1.json"
202305,臺灣高等法院高雄分院民事,"KSHV,106,建上更(一),2,20230524,3",106,建上更(一),2,20230524,給付工程款,16003,119,標題,https://data.judicial.gov.tw/opendl/JDocFile/KSHV/106%2c%e5%bb%ba%e4%b8%8a%e6%9b%b4(%e4%b8%80)%2c2%2c20230524%2c3.pdf,"202305/臺灣高等法院高雄分院民事/KSHV,106,建上更(一),2,20230524,3.json"
202305,臺灣高等法院高雄分院民事,"KSHV,111,重上,57,20230510,1",111,重上,57,20230510,給付監造服務費,19583,146,標題,https://data.judicial.gov.tw/opendl/JDocFile/KSHV/111%2c%e9%87%8d%e4%b8%8a%2c57%2c20230510%2c1.pdf,"202305/臺灣高等法院高雄分院民事/KSHV,111,重上,57,20230510,1.json"
202305,臺灣高雄地方法院民事,"KSDV,111,建,64,20230516,1",111,建,64,20230516,給付工程款,3166,27,標題,https://data.judicial.gov.tw/opendl/JDocFile/KSDV/111%2c%e5%bb%ba%2c64%2c20230516%2c1.pdf,"202305/臺灣高雄地方法院民事/KSDV,111,建,64,20230516,1.json"
202305,臺灣高雄地方法院民事,"KSDV,111,建,72,20230531,1",111,建,72,20230531,返還溢領工程款等,3549,25,標題,https://data.judicial.gov.tw/opendl/JDocFile/KSDV/111%2c%e5%bb%ba%2c72%2c20230531%2c1.pdf,"202305/臺灣高雄地方法院民事/KSDV,111,建,72,20230531,1.json"
202305,臺灣高雄地方法院民事,"KSDV,111,訴,1171,20230505,1",111,訴,1171,20230505,給付承攬報酬,9475,36,標題,https://data.judicial.gov.tw/opendl/JDocFile/KSDV/111%2c%e8%a8%b4%2c1171%2c20230505%2c1.pdf,"202305/臺灣高雄地方法院民事/KSDV,111,訴,1171,20230505,1.json"
202305,臺灣高雄地方法院民事,"KSDV,111,訴,244,20230526,1",111,訴,244,20230526,給付承攬報酬,19314,107,標題,https://data.judicial.gov.tw/opendl/JDocFile/KSDV/111%2c%e8%a8%b4%2c244%2c20230526%2c1.pdf,"202305/臺灣高雄地方法院民事/KSDV,111,訴,244,20230526,1.json"
202306,最高法院民事,"TPSV,110,台上,2317,20230628,1",110,台上,2317,20230628,請求給付工程款等,8224,61,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPSV/110%2c%e5%8f%b0%e4%b8%8a%2c2317%2c20230628%2c1.pdf,"202306/最高法院民事/TPSV,110,台上,2317,20230628,1.json"
202306,最高法院民事,"TPSV,111,台上,1860,20230615,1",111,台上,1860,20230615,請求給付報酬,4911,24,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPSV/111%2c%e5%8f%b0%e4%b8%8a%2c1860%2c20230615%2c1.pdf,"202306/最高法院民事/TPSV,111,台上,1860,20230615,1.json"
202306,最高法院民事,"TPSV,112,台上,1037,20230607,1",112,台上,1037,20230607,請求給付報酬,4976,57,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPSV/112%2c%e5%8f%b0%e4%b8%8a%2c1037%2c20230607%2c1.pdf,"202306/最高法院民事/TPSV,112,台上,1037,20230607,1.json"
